,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,result
123,27914,27923,27920,27931,27934,27932,27945,27939,27941,27941,27941
124,27923,27920,27931,27934,27932,27945,27939,27941,27941,27941,27941
125,27920,27931,27934,27932,27945,27939,27941,27941,27941,27941,27941
126,27931,27934,27932,27945,27939,27941,27941,27941,27941,27941,27941
127,27934,27932,27945,27939,27941,27941,27941,27941,27941,27941,27941
128,27932,27945,27939,27941,27941,27941,27941,27941,27941,27941,27941
129,27945,27939,27941,27941,27941,27941,27941,27941,27941,27941,27940
130,27939,27941,27941,27941,27941,27941,27941,27941,27941,27940,27982
131,27941,27941,27941,27941,27941,27941,27941,27941,27940,27982,28046
132,27941,27941,27941,27941,27941,27941,27941,27940,27982,28046,28061
133,27941,27941,27941,27941,27941,27941,27940,27982,28046,28061,28045
134,27941,27941,27941,27941,27941,27940,27982,28046,28061,28045,28054
135,27941,27941,27941,27941,27940,27982,28046,28061,28045,28054,28044
136,27941,27941,27941,27940,27982,28046,28061,28045,28054,28044,28051
137,27941,27941,27940,27982,28046,28061,28045,28054,28044,28051,28063
138,27941,27940,27982,28046,28061,28045,28054,28044,28051,28063,28069
139,27940,27982,28046,28061,28045,28054,28044,28051,28063,28069,28075
140,27982,28046,28061,28045,28054,28044,28051,28063,28069,28075,28083
141,28046,28061,28045,28054,28044,28051,28063,28069,28075,28083,28090
142,28061,28045,28054,28044,28051,28063,28069,28075,28083,28090,28069
143,28045,28054,28044,28051,28063,28069,28075,28083,28090,28069,28059
144,28054,28044,28051,28063,28069,28075,28083,28090,28069,28059,28058
145,28044,28051,28063,28069,28075,28083,28090,28069,28059,28058,28060
146,28051,28063,28069,28075,28083,28090,28069,28059,28058,28060,28044
147,28063,28069,28075,28083,28090,28069,28059,28058,28060,28044,28033
148,28069,28075,28083,28090,28069,28059,28058,28060,28044,28033,28044
149,28075,28083,28090,28069,28059,28058,28060,28044,28033,28044,28045
150,28083,28090,28069,28059,28058,28060,28044,28033,28044,28045,28054
151,28090,28069,28059,28058,28060,28044,28033,28044,28045,28054,28046
152,28069,28059,28058,28060,28044,28033,28044,28045,28054,28046,28059
153,28059,28058,28060,28044,28033,28044,28045,28054,28046,28059,28073
154,28058,28060,28044,28033,28044,28045,28054,28046,28059,28073,28072
155,28060,28044,28033,28044,28045,28054,28046,28059,28073,28072,28068
156,28044,28033,28044,28045,28054,28046,28059,28073,28072,28068,28070
157,28033,28044,28045,28054,28046,28059,28073,28072,28068,28070,28044
158,28044,28045,28054,28046,28059,28073,28072,28068,28070,28044,28039
159,28045,28054,28046,28059,28073,28072,28068,28070,28044,28039,28040
160,28054,28046,28059,28073,28072,28068,28070,28044,28039,28040,28030
161,28046,28059,28073,28072,28068,28070,28044,28039,28040,28030,28040
162,28059,28073,28072,28068,28070,28044,28039,28040,28030,28040,28056
163,28073,28072,28068,28070,28044,28039,28040,28030,28040,28056,28056
164,28072,28068,28070,28044,28039,28040,28030,28040,28056,28056,28046
165,28068,28070,28044,28039,28040,28030,28040,28056,28056,28046,28075
166,28070,28044,28039,28040,28030,28040,28056,28056,28046,28075,28093
167,28044,28039,28040,28030,28040,28056,28056,28046,28075,28093,28089
168,28039,28040,28030,28040,28056,28056,28046,28075,28093,28089,28091
169,28040,28030,28040,28056,28056,28046,28075,28093,28089,28091,28092
170,28030,28040,28056,28056,28046,28075,28093,28089,28091,28092,28089
171,28040,28056,28056,28046,28075,28093,28089,28091,28092,28089,28101
172,28056,28056,28046,28075,28093,28089,28091,28092,28089,28101,28111
173,28056,28046,28075,28093,28089,28091,28092,28089,28101,28111,28103
174,28046,28075,28093,28089,28091,28092,28089,28101,28111,28103,28113
175,28075,28093,28089,28091,28092,28089,28101,28111,28103,28113,28115
176,28093,28089,28091,28092,28089,28101,28111,28103,28113,28115,28138
177,28089,28091,28092,28089,28101,28111,28103,28113,28115,28138,28129
178,28091,28092,28089,28101,28111,28103,28113,28115,28138,28129,28135
179,28092,28089,28101,28111,28103,28113,28115,28138,28129,28135,28131
180,28089,28101,28111,28103,28113,28115,28138,28129,28135,28131,28128
181,28101,28111,28103,28113,28115,28138,28129,28135,28131,28128,28119
182,28111,28103,28113,28115,28138,28129,28135,28131,28128,28119,28126
183,28103,28113,28115,28138,28129,28135,28131,28128,28119,28126,28119
184,28113,28115,28138,28129,28135,28131,28128,28119,28126,28119,28118
185,28115,28138,28129,28135,28131,28128,28119,28126,28119,28118,28121
186,28138,28129,28135,28131,28128,28119,28126,28119,28118,28121,28137
187,28129,28135,28131,28128,28119,28126,28119,28118,28121,28137,28137
188,28135,28131,28128,28119,28126,28119,28118,28121,28137,28137,28155
189,28131,28128,28119,28126,28119,28118,28121,28137,28137,28155,28147
190,28128,28119,28126,28119,28118,28121,28137,28137,28155,28147,28148
191,28119,28126,28119,28118,28121,28137,28137,28155,28147,28148,28153
