Local time,Open,High,Low,Close,Volume
03.04.2023 02:27:00.000 GMT+0330,28063,28069,28056,28069,0.0002
03.04.2023 02:28:00.000 GMT+0330,28069,28077,28069,28075,0.0001
03.04.2023 02:29:00.000 GMT+0330,28075,28086,28060,28083,0.0005
03.04.2023 02:30:00.000 GMT+0330,28083,28091,28075,28090,0.0002
03.04.2023 02:31:00.000 GMT+0330,28090,28090,28063,28069,0.0003
03.04.2023 02:32:00.000 GMT+0330,28065,28065,28054,28059,0.0001
03.04.2023 02:33:00.000 GMT+0330,28059,28059,28055,28058,0.0001
03.04.2023 02:34:00.000 GMT+0330,28058,28060,28057,28060,0
03.04.2023 02:35:00.000 GMT+0330,28060,28060,28044,28044,0.0001
03.04.2023 02:36:00.000 GMT+0330,28044,28044,28033,28033,0.0001
03.04.2023 02:37:00.000 GMT+0330,28034,28044,28018,28044,0.0003
03.04.2023 02:38:00.000 GMT+0330,28046,28052,28041,28045,0.0001
03.04.2023 02:39:00.000 GMT+0330,28045,28054,28041,28054,0.0001
03.04.2023 02:40:00.000 GMT+0330,28054,28054,28038,28046,0.0002
03.04.2023 02:41:00.000 GMT+0330,28047,28059,28047,28059,0.0002
03.04.2023 02:42:00.000 GMT+0330,28059,28077,28059,28073,0.0004
03.04.2023 02:43:00.000 GMT+0330,28074,28078,28072,28072,0.0002
03.04.2023 02:44:00.000 GMT+0330,28072,28074,28065,28068,0.0001
03.04.2023 02:45:00.000 GMT+0330,28068,28071,28068,28070,0.0001
03.04.2023 02:46:00.000 GMT+0330,28070,28070,28044,28044,0.0003
03.04.2023 02:47:00.000 GMT+0330,28044,28044,28030,28039,0.0002
03.04.2023 02:48:00.000 GMT+0330,28039,28040,28023,28040,0.0002
03.04.2023 02:49:00.000 GMT+0330,28040,28041,28026,28030,0.0001
03.04.2023 02:50:00.000 GMT+0330,28031,28046,28031,28040,0.0001
03.04.2023 02:51:00.000 GMT+0330,28040,28056,28040,28056,0.0001
03.04.2023 02:52:00.000 GMT+0330,28056,28056,28056,28056,0
03.04.2023 02:53:00.000 GMT+0330,28056,28056,28042,28046,0.0001
03.04.2023 02:54:00.000 GMT+0330,28047,28075,28047,28075,0.0003
03.04.2023 02:55:00.000 GMT+0330,28077,28093,28075,28093,0.0003
03.04.2023 02:56:00.000 GMT+0330,28093,28093,28085,28089,0.0001
03.04.2023 02:57:00.000 GMT+0330,28090,28093,28086,28091,0.0001
03.04.2023 02:58:00.000 GMT+0330,28093,28093,28089,28092,0.0001
03.04.2023 02:59:00.000 GMT+0330,28093,28108,28086,28089,0.0003
03.04.2023 03:00:00.000 GMT+0330,28089,28101,28089,28101,0.0001
03.04.2023 03:01:00.000 GMT+0330,28102,28111,28102,28111,0.0002
03.04.2023 03:02:00.000 GMT+0330,28111,28113,28103,28103,0
03.04.2023 03:03:00.000 GMT+0330,28104,28113,28102,28113,0.0001
03.04.2023 03:04:00.000 GMT+0330,28113,28116,28108,28115,0.0001
03.04.2023 03:05:00.000 GMT+0330,28115,28138,28112,28138,0.0003
03.04.2023 03:06:00.000 GMT+0330,28138,28140,28102,28129,0.001
03.04.2023 03:07:00.000 GMT+0330,28129,28135,28115,28135,0.0004
03.04.2023 03:08:00.000 GMT+0330,28135,28135,28127,28131,0.0001
03.04.2023 03:09:00.000 GMT+0330,28134,28150,28125,28128,0.0002
03.04.2023 03:10:00.000 GMT+0330,28128,28128,28112,28119,0.0001
