,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,result
124,28092,28068,28077,28071,28091,28090,28091,28092,28096,28096,28102
125,28091,28090,28091,28092,28096,28096,28102,28120,28123,28114,28109
126,28090,28091,28092,28096,28096,28102,28120,28123,28114,28109,28127
127,28097,28110,28123,28110,28114,28105,28098,28095,28083,28066,28017
128,28057,28054,28062,28051,28055,28052,28038,28014,28015,28026,28014
129,28014,28011,27982,27967,27959,27927,27759,27745,27688,27684,27619
130,27967,27959,27927,27759,27745,27688,27684,27619,27702,27756,27753
131,27959,27927,27759,27745,27688,27684,27619,27702,27756,27753,27744
132,27927,27759,27745,27688,27684,27619,27702,27756,27753,27744,27755
133,27688,27684,27619,27702,27756,27753,27744,27755,27752,27716,27720
134,27619,27702,27756,27753,27744,27755,27752,27716,27720,27737,27669
135,27752,27716,27720,27737,27669,27705,27679,27691,27727,27697,27679
136,27737,27669,27705,27679,27691,27727,27697,27679,27681,27674,27675
137,27705,27679,27691,27727,27697,27679,27681,27674,27675,27711,27742
138,27727,27697,27679,27681,27674,27675,27711,27742,27742,27767,27771
139,27675,27711,27742,27742,27767,27771,27750,27745,27773,27764,27761
140,27742,27767,27771,27750,27745,27773,27764,27761,27734,27728,27717
141,27717,27718,27719,27684,27664,27645,27618,27634,27578,27580,27486
142,27443,27359,27406,27371,27428,27377,27333,27345,27375,27364,27392
143,27428,27377,27333,27345,27375,27364,27392,27349,27455,27510,27529
144,27345,27375,27364,27392,27349,27455,27510,27529,27515,27507,27510
145,27375,27364,27392,27349,27455,27510,27529,27515,27507,27510,27517
146,27521,27508,27491,27467,27468,27491,27515,27468,27499,27518,27525
147,27508,27491,27467,27468,27491,27515,27468,27499,27518,27525,27524
148,27468,27499,27518,27525,27524,27496,27523,27554,27538,27523,27522
149,27525,27524,27496,27523,27554,27538,27523,27522,27522,27523,27540
150,27621,27698,27706,27731,27706,27684,27637,27648,27672,27691,27684
151,27736,27725,27753,27764,27767,27777,27781,27778,27770,27749,27741
152,27777,27781,27778,27770,27749,27741,27725,27755,27756,27755,27756
153,27755,27756,27755,27756,27791,27817,27828,27826,27825,27800,27769
154,27755,27756,27791,27817,27828,27826,27825,27800,27769,27744,27744
155,27647,27654,27667,27676,27693,27695,27716,27737,27724,27738,27724
156,27749,27746,27740,27746,27764,27806,27804,27805,27830,27842,27822
157,27746,27764,27806,27804,27805,27830,27842,27822,27815,27810,27802
158,27822,27815,27810,27802,27804,27780,27773,27764,27764,27765,27761
159,27802,27804,27780,27773,27764,27764,27765,27761,27792,27803,27795
160,27804,27780,27773,27764,27764,27765,27761,27792,27803,27795,27792
161,27803,27795,27792,27800,27767,27764,27756,27766,27773,27779,27791
162,27811,27825,27839,27819,27824,27816,27833,27839,27847,27852,27866
163,27824,27816,27833,27839,27847,27852,27866,27874,27866,27853,27876
164,27887,27878,27898,27884,27888,27878,27868,27875,27875,27890,27884
165,27844,27839,27842,27847,27834,27835,27851,27857,27867,27877,27877
166,27901,27900,27893,27908,27903,27866,27864,27870,27854,27854,27857
167,27903,27866,27864,27870,27854,27854,27857,27858,27858,27860,27858
168,27864,27870,27854,27854,27857,27858,27858,27860,27858,27851,27847
169,27854,27849,27863,27864,27848,27844,27841,27844,27838,27835,27860
170,27841,27844,27838,27835,27860,27862,27865,27829,27844,27837,27834
171,27838,27835,27860,27862,27865,27829,27844,27837,27834,27829,27839
172,27855,27842,27833,27836,27839,27840,27847,27846,27831,27825,27829
173,27839,27840,27847,27846,27831,27825,27829,27822,27826,27808,27822
174,27829,27822,27826,27808,27822,27813,27810,27809,27799,27773,27775
175,27822,27826,27808,27822,27813,27810,27809,27799,27773,27775,27773
176,27822,27813,27810,27809,27799,27773,27775,27773,27766,27768,27761
177,27809,27799,27773,27775,27773,27766,27768,27761,27766,27762,27758
178,27791,27794,27796,27795,27802,27799,27798,27785,27787,27795,27795
179,27787,27795,27795,27796,27800,27797,27798,27800,27805,27803,27806
180,27795,27795,27796,27800,27797,27798,27800,27805,27803,27806,27806
181,27796,27800,27797,27798,27800,27805,27803,27806,27806,27806,27808
182,27805,27803,27806,27806,27806,27808,27822,27849,27899,27912,27890
183,27899,27912,27890,27880,27871,27876,27883,27889,27879,27880,27874
184,27871,27873,27874,27875,27881,27886,27869,27883,27879,27879,27876
185,27886,27859,27847,27847,27856,27869,27886,27884,27879,27874,27861
186,27847,27847,27856,27869,27886,27884,27879,27874,27861,27854,27856
187,27854,27856,27853,27849,27845,27844,27845,27845,27844,27843,27838
188,27853,27849,27845,27844,27845,27845,27844,27843,27838,27848,27848
189,27838,27848,27848,27850,27876,27881,27880,27876,27863,27861,27870
190,28007,27974,27961,27987,27993,27977,28003,28021,28020,28019,28035
191,28019,28050,28059,28058,28071,28063,28055,28035,28028,28046,28067
192,28058,28071,28063,28055,28035,28028,28046,28067,28073,28109,28097
193,28067,28077,28080,28071,28055,28044,28040,28033,28021,28012,28012
194,28014,28005,28006,28006,27998,27997,27991,27986,27986,27984,27968
195,28005,28006,28006,27998,27997,27991,27986,27986,27984,27968,27974
196,28006,27998,27997,27991,27986,27986,27984,27968,27974,27972,27973
197,27985,28008,28007,28007,28012,28001,28018,28013,27997,27989,27984
198,28013,27997,27989,27984,27996,28002,27999,28005,28006,28005,28004
199,27997,27989,27984,27996,28002,27999,28005,28006,28005,28004,28003
200,27984,27996,28002,27999,28005,28006,28005,28004,28003,27994,27993
201,27994,27993,27995,27986,27984,27977,27975,27975,27983,27986,27981
202,27995,27986,27984,27977,27975,27975,27983,27986,27981,27948,27948
203,27940,27954,27960,27953,27962,27959,27963,27973,27983,27981,27983
204,27983,27981,27983,27988,27988,27991,27992,27996,28000,27997,28012
205,27992,27996,28000,27997,28012,28053,28055,28062,28062,28060,28059
206,28012,28053,28055,28062,28062,28060,28059,28048,28043,28036,28050
207,28032,28034,28042,28068,28071,28063,28074,28067,28049,28046,28045
208,28068,28065,28065,28077,28079,28079,28074,28074,28090,28104,28132
209,28077,28079,28079,28074,28074,28090,28104,28132,28129,28131,28127
210,28104,28132,28129,28131,28127,28115,28116,28145,28127,28129,28129
211,28185,28231,28285,28279,28271,28256,28286,28287,28277,28248,28238
212,28238,28255,28253,28251,28243,28235,28255,28235,28218,28209,28205
213,28205,28224,28209,28199,28196,28195,28203,28198,28198,28191,28181
214,28209,28199,28196,28195,28203,28198,28198,28191,28181,28192,28178
215,28191,28181,28192,28178,28169,28176,28176,28198,28203,28212,28215
216,28335,28302,28354,28344,28314,28299,28355,28351,28361,28369,28357
217,28351,28361,28369,28357,28359,28350,28333,28277,28214,28261,28253
218,28369,28357,28359,28350,28333,28277,28214,28261,28253,28245,28244
219,28254,28229,28227,28189,28161,28196,28216,28214,28226,28233,28218
220,28227,28189,28161,28196,28216,28214,28226,28233,28218,28210,28212
221,28214,28226,28233,28218,28210,28212,28246,28228,28213,28220,28241
222,28233,28218,28210,28212,28246,28228,28213,28220,28241,28243,28246
223,28246,28228,28213,28220,28241,28243,28246,28257,28255,28270,28268
224,28241,28243,28246,28257,28255,28270,28268,28281,28264,28260,28258
225,28255,28270,28268,28281,28264,28260,28258,28273,28282,28262,28307
226,28307,28294,28293,28261,28259,28238,28238,28236,28224,28215,28207
227,28236,28224,28215,28207,28208,28232,28239,28230,28243,28264,28274
228,28232,28239,28230,28243,28264,28274,28260,28293,28288,28286,28309
229,28230,28243,28264,28274,28260,28293,28288,28286,28309,28302,28297
230,28319,28304,28269,28244,28245,28224,28228,28195,28192,28195,28198
231,28244,28245,28224,28228,28195,28192,28195,28198,28219,28220,28224
232,28195,28198,28219,28220,28224,28230,28224,28217,28200,28200,28204
233,28217,28200,28200,28204,28209,28191,28194,28217,28238,28244,28243
234,28263,28263,28289,28294,28343,28307,28266,28271,28262,28266,28254
235,28263,28289,28294,28343,28307,28266,28271,28262,28266,28254,28245
